Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0006533-92.2022.8.26.0037;Araraquara;SP;Propriedade Rural;Gleba C do Sítio Monjolinho, Distrito de Bueno de Andrada, Araraquara/SP;R$ 2.847.298,40;60%;06/05/2026;27/05/2026;R$ 1.708.379,04;R$ 51.251,37;R$ 85.418,95;R$ 85.418,95;R$ 85.418,95;R$ 2.015.887,27;R$ 831.411,13;41,24%;55;VERMELHO
0000006-17.2025.8.26.0168;Dracena;SP;Área Urbana;Área Urbana, divisa com Estrada Municipal João Araújo - DRA 070;R$ 2.705.562,00;60%;19/05/2026;11/06/2026;R$ 1.623.337,20;R$ 48.700,12;R$ 81.166,86;R$ 81.166,86;R$ 81.166,86;R$ 1.915.537,90;R$ 790.024,10;41,24%;45;VERMELHO
0013287-76.2023.8.26.0114;Campinas;SP;Casa e Terreno;Rua Timbó, nº 558, Bairro Loteamento Alphaville Campinas, Campinas/SP;R$ 2.532.357,06;60%;18/05/2026;09/06/2026;R$ 1.519.414,24;R$ 45.582,43;R$ 75.970,71;R$ 75.970,71;R$ 75.970,71;R$ 1.792.908,80;R$ 739.448,26;41,24%;60;AMARELO
1041702-60.2024.8.26.0100;São Paulo;SP;Créditos Judiciais;Não se aplica;R$ 2.000.000,00;50%;01/04/2026;06/04/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;R$ 820.000,00;69,49%;25;VERMELHO
0028211-89.2013.8.26.0196;Franca;SP;Imóvel Rural;Prolongamento da Rua Miguel Lourenço de Oliveira, s/nº, Franca – SP, CEP: 14409-542;R$ 1.595.551,18;60%;04/05/2026;27/05/2026;R$ 957.330,71;R$ 28.719,92;R$ 47.866,54;R$ 47.866,54;R$ 47.866,54;R$ 1.129.650,24;R$ 465.900,94;41,24%;70;AMARELO
0003233-90.2001.8.26.0609;São Paulo;SP;Casa;Rua Cônego Manoel Vaz, nº 450, Santana;R$ 1.585.556,64;60%;27/04/2026;20/05/2026;R$ 951.333,98;R$ 28.540,02;R$ 47.566,70;R$ 47.566,70;R$ 47.566,70;R$ 1.122.574,10;R$ 462.982,54;41,24%;60;AMARELO
0841230-25.1996.8.26.0100;São Paulo;SP;Casa;Rua Maracá, 321, Vila Guarany;R$ 1.203.400,80;83%;27/04/2026;21/05/2026;R$ 998.822,66;R$ 29.964,68;R$ 49.941,13;R$ 49.941,13;R$ 49.941,13;R$ 1.178.610,74;R$ 24.790,06;2,10%;65;AMARELO
1001857-17.2014.8.26.0053;São Paulo;SP;Casa;Rua Maria Perez Auge, nº 25, Campo Belo;R$ 1.185.050,30;60%;23/03/2026;16/04/2026;R$ 711.030,18;R$ 21.330,91;R$ 35.551,51;R$ 35.551,51;R$ 35.551,51;R$ 839.015,61;R$ 346.034,69;41,24%;70;AMARELO
0022652-28.2021.8.26.0114;Campinas;SP;Casa;Rua Ângelo José Vicente, 96;R$ 1.125.250,00;50%;27/04/2026;28/05/2026;R$ 562.625,00;R$ 16.878,75;R$ 28.131,25;R$ 28.131,25;R$ 28.131,25;R$ 663.897,50;R$ 461.352,50;69,49%;50;VERMELHO
1002680-45.2022.8.26.0106;São Paulo;SP;Bens Móveis e Veículos;Rua Dr. José da Mata Cardim, 26;R$ 985.578,00;50%;04/05/2026;18/06/2026;R$ 492.789,00;R$ 14.783,67;R$ 24.639,45;R$ 24.639,45;R$ 24.639,45;R$ 581.491,02;R$ 404.086,98;69,49%;80;VERDE
1005503-31.2023.8.26.0114;Montes Claros;MG;Casa;Rua São Pedro, nº 75, bairro Todos os Santos, Montes Claros - MG;R$ 957.979,99;60%;08/05/2026;03/06/2026;R$ 574.787,99;R$ 17.243,64;R$ 28.739,40;R$ 28.739,40;R$ 28.739,40;R$ 678.249,83;R$ 279.730,16;41,24%;30;VERMELHO
0006697-83.2023.8.26.0114;Campinas;SP;Apartamento;Rua José Luiz Camargo Moreira, n° 33;R$ 950.000,00;60%;10/04/2026;04/05/2026;R$ 570.000,00;R$ 17.100,00;R$ 28.500,00;R$ 28.500,00;R$ 28.500,00;R$ 672.600,00;R$ 277.400,00;41,24%;35;VERMELHO
0002865-37.2021.8.26.0009;São Paulo;SP;Apartamento;"O apartamento nº 131, localizado no 13º andar ou 17º pavimento do Edifício Torre Umbria - Bloco C, integrante do empreendimento denominado Condomínio ""Piazza Dello Sport"", com entrada pelo nº 94 da Praça Padre Mário Fontana, e pela Praça Wilhelm Bernauer, no 26º Subdistrito-Vila Prudente";R$ 900.000,00;80%;19/05/2026;12/06/2026;R$ 720.000,00;R$ 21.600,00;R$ 36.000,00;R$ 36.000,00;R$ 36.000,00;R$ 849.600,00;R$ 50.400,00;5,93%;25;VERMELHO
1556088-57.2025.8.26.0050;São Paulo;SP;Veículo;Não se aplica (bem móvel);R$ 780.000,00;85%;09/04/2026;18/05/2026;R$ 663.000,00;R$ 19.890,00;R$ 33.150,00;R$ 33.150,00;R$ 33.150,00;R$ 782.340,00;-R$ 2.340,00;-0,30%;93;VERDE
1000006-35.2023.8.26.0373;Descalvado;SP;Terreno;Avenida Bom Jesus;R$ 780.000,00;50%;07/05/2026;23/06/2026;R$ 390.000,00;R$ 11.700,00;R$ 19.500,00;R$ 19.500,00;R$ 19.500,00;R$ 460.200,00;R$ 319.800,00;69,49%;80;VERDE
0002189-94.2018.8.26.0106;Caieiras;SP;Imóvel Residencial e Comercial;Rua Codorna, nº 47 (lote 51-B), Jardim Adelfiori – Caieiras/SP;R$ 705.256,46;50%;15/04/2026;12/05/2026;R$ 352.628,23;R$ 10.578,85;R$ 17.631,41;R$ 17.631,41;R$ 17.631,41;R$ 416.101,31;R$ 289.155,15;69,49%;55;VERMELHO
0712975-49.1996.8.26.0100;São Bernardo do Campo;SP;Terreno;Rua Rio Grande, Parque do Rio Grande, Riacho Grande;R$ 550.000,00;25%;19/05/2026;03/07/2026;R$ 137.500,00;R$ 4.125,00;R$ 6.875,00;R$ 6.875,00;R$ 6.875,00;R$ 162.250,00;R$ 387.750,00;238,98%;45;VERMELHO
0712975-49.1996.8.26.0100;São Bernardo do Campo;SP;Terreno;Rua Rio Grande, Lote nº 10, Quadra H, Parque do Rio Grande, Riacho Grande;R$ 550.000,00;25%;19/05/2026;03/07/2026;R$ 137.500,00;R$ 4.125,00;R$ 6.875,00;R$ 6.875,00;R$ 6.875,00;R$ 162.250,00;R$ 387.750,00;238,98%;40;VERMELHO
0712975-49.1996.8.26.0100;São Bernardo do Campo;SP;Terreno;Rua Rio Grande, Parque do Rio Grande, Riacho Grande, São Bernardo do Campo;R$ 550.000,00;25%;19/05/2026;03/07/2026;R$ 137.500,00;R$ 4.125,00;R$ 6.875,00;R$ 6.875,00;R$ 6.875,00;R$ 162.250,00;R$ 387.750,00;238,98%;50;VERMELHO
0712975-49.1996.8.26.0100;São Bernardo do Campo;SP;Terreno com edificações;Lote nº 10, da Quadra “H”, localizado à Rua Rio Grande, antiga Projetada Via Rio Grande no “Parque do Rio Grande”, em Riacho Grande;R$ 550.000,00;25%;19/05/2026;03/07/2026;R$ 137.500,00;R$ 4.125,00;R$ 6.875,00;R$ 6.875,00;R$ 6.875,00;R$ 162.250,00;R$ 387.750,00;238,98%;50;VERMELHO
0005469-24.2002.8.26.0045;Arujá;SP;Terreno com construção;Rua Francisco Muraca, s/n (“Lote 01”, da “Quadra J”), Loteamento Vila Pilar, Arujá/SP;R$ 525.000,00;60%;27/04/2026;20/05/2026;R$ 315.000,00;R$ 9.450,00;R$ 15.750,00;R$ 15.750,00;R$ 15.750,00;R$ 371.700,00;R$ 153.300,00;41,24%;20;VERMELHO
0005961-82.2022.8.26.0152;Cotia;SP;Terreno com construções;RUA BRINCO DE PRINCESA, Nº 48 CHACARA ONDAS VERDES, CONDOMINIO JARDIM DAS FLORES, COTIA/SP;R$ 520.481,44;60%;14/04/2026;07/05/2026;R$ 312.288,86;R$ 9.368,67;R$ 15.614,44;R$ 15.614,44;R$ 15.614,44;R$ 368.500,86;R$ 151.980,58;41,24%;25;VERMELHO
0003576-31.2003.8.26.0152;Cotia;SP;Terreno;Rua Jacareí, Lote 17, Quadra D, Loteamento Parque Don Henrique III;R$ 508.430,78;60%;20/04/2026;14/05/2026;R$ 305.058,47;R$ 9.151,75;R$ 15.252,92;R$ 15.252,92;R$ 15.252,92;R$ 359.968,99;R$ 148.461,79;41,24%;30;VERMELHO
1004107-90.2022.8.26.0037;Guaíra;SP;Casa residencial;Avenida treze, 193 – Centro, Guaíra/SP;R$ 470.389,00;60%;06/05/2026;27/05/2026;R$ 282.233,40;R$ 8.467,00;R$ 14.111,67;R$ 14.111,67;R$ 14.111,67;R$ 333.035,41;R$ 137.353,59;41,24%;85;VERDE
0040152-52.2021.8.26.0100;São Paulo;SP;Apartamento;RUA LOUREIRO DA CRUZ, Nº 35;R$ 435.000,00;50%;28/05/2026;14/07/2026;R$ 217.500,00;R$ 6.525,00;R$ 10.875,00;R$ 10.875,00;R$ 10.875,00;R$ 256.650,00;R$ 178.350,00;69,49%;85;VERDE
0040152-52.2021.8.26.0100;São Paulo;SP;Apartamento;Rua Loureiro da Cruz, nº 35;R$ 435.000,00;0%;28/05/2026;14/07/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 435.000,00;0,00%;25;VERMELHO
0010208-73.2016.8.26.0037;Araraquara;SP;Imóvel comercial;Av. Francisco Vaz Filho, nº 2585, Jardim Tabapuã, Araraquara/SP;R$ 427.434,33;50%;06/05/2026;27/05/2026;R$ 213.717,17;R$ 6.411,51;R$ 10.685,86;R$ 10.685,86;R$ 10.685,86;R$ 252.186,25;R$ 175.248,08;69,49%;90;VERDE
0005814-34.2013.8.26.0229;São Vicente;SP;Apartamento;Avenida Embaixador Pedro de Toledo, nº 40, São Vicente, SP;R$ 420.000,00;50%;02/04/2026;19/05/2026;R$ 210.000,00;R$ 6.300,00;R$ 10.500,00;R$ 10.500,00;R$ 10.500,00;R$ 247.800,00;R$ 172.200,00;69,49%;78;AMARELO
0000411-24.2020.8.26.0299;Jandira;SP;Casa;Rua Marquês de Itanhaém, n.º 181, Jardim Gabriela III, Jandira/SP, CEP: 06626-150;R$ 419.906,98;60%;02/04/2026;28/04/2026;R$ 251.944,19;R$ 7.558,33;R$ 12.597,21;R$ 12.597,21;R$ 12.597,21;R$ 297.294,14;R$ 122.612,84;41,24%;70;AMARELO
0000411-24.2020.8.26.0299;Jandira;SP;Casa;Rua Marquês de Itanhaém, n.º 181, Jardim Gabriela III, Jandira/SP, CEP: 06626-150;R$ 419.906,98;60%;02/04/2026;28/04/2026;R$ 251.944,19;R$ 7.558,33;R$ 12.597,21;R$ 12.597,21;R$ 12.597,21;R$ 297.294,14;R$ 122.612,84;41,24%;75;AMARELO
0004555-73.2004.8.26.0114;Nova Odessa;SP;Casa;Rua Hermam Jankovitz, 797, Jardim Santa Rosa;R$ 401.562,75;60%;18/05/2026;12/06/2025;R$ 240.937,65;R$ 7.228,13;R$ 12.046,88;R$ 12.046,88;R$ 12.046,88;R$ 284.306,43;R$ 117.256,32;41,24%;75;AMARELO
0003277-23.2020.8.26.0196;Franca;SP;Casa;Rua Campos Salles, 1205, Centro, Franca/SP;R$ 395.586,72;100%;17/04/2026;14/05/2026;R$ 395.586,72;R$ 11.867,60;R$ 19.779,34;R$ 19.779,34;R$ 19.779,34;R$ 466.792,33;-R$ 71.205,61;-15,25%;45;VERMELHO
0040152-52.2021.8.26.0100;São Paulo;SP;Apartamento;Rua dos Caciques, nº 71, na Saúde 21º Subdistrito;R$ 380.000,00;50%;28/05/2026;14/07/2026;R$ 190.000,00;R$ 5.700,00;R$ 9.500,00;R$ 9.500,00;R$ 9.500,00;R$ 224.200,00;R$ 155.800,00;69,49%;65;AMARELO
1500044-66.2018.8.26.0081;Adamantina;SP;Terreno;Rua Juruvá, Lotes 2 e 3, Quadra 3, Residencial Parque Tangará, Adamantina/SP;R$ 371.789,15;50%;04/05/2026;27/05/2026;R$ 185.894,58;R$ 5.576,84;R$ 9.294,73;R$ 9.294,73;R$ 9.294,73;R$ 219.355,60;R$ 152.433,55;69,49%;30;VERMELHO
4009028-19.2013.8.26.0114;Campinas;SP;Apartamento;Rua Barão de Jaguara, n° 460, Apartamento nº 62 e box nº 43, Centro;R$ 354.078,15;50%;24/04/2026;19/05/2026;R$ 177.039,08;R$ 5.311,17;R$ 8.851,95;R$ 8.851,95;R$ 8.851,95;R$ 208.906,11;R$ 145.172,04;69,49%;85;VERDE
0002054-68.2023.8.26.0248;Indaiatuba;SP;Não especificado (Lotes);Não especificado;R$ 344.000,00;60%;27/03/2026;22/04/2026;R$ 206.400,00;R$ 6.192,00;R$ 10.320,00;R$ 10.320,00;R$ 10.320,00;R$ 243.552,00;R$ 100.448,00;41,24%;55;VERMELHO
0001057-12.2022.8.26.0219;Guararema;SP;Terreno;Rua 1, Lote 21, Quadra A, Loteamento Residencial Urbanova II, Bairro do Lambari, Guararema;R$ 338.449,48;60%;01/04/2026;23/04/2026;R$ 203.069,69;R$ 6.092,09;R$ 10.153,48;R$ 10.153,48;R$ 10.153,48;R$ 239.622,23;R$ 98.827,25;41,24%;90;VERDE
0003573-52.2011.8.26.0619;Taquaritinga;SP;Terreno com edificação comercial;Rua 3, Jardim das Paineiras, Taquaritinga/SP;R$ 332.507,15;60%;11/05/2026;03/06/2026;R$ 199.504,29;R$ 5.985,13;R$ 9.975,21;R$ 9.975,21;R$ 9.975,21;R$ 235.415,06;R$ 97.092,09;41,24%;30;VERMELHO
0125986-87.2002.8.26.0100;São Paulo;SP;Terreno;Rua Silveira da Mota, 66, Cambuci;R$ 308.000,00;50%;15/05/2026;17/06/2026;R$ 154.000,00;R$ 4.620,00;R$ 7.700,00;R$ 7.700,00;R$ 7.700,00;R$ 181.720,00;R$ 126.280,00;69,49%;60;AMARELO
0125986-87.2002.8.26.0100;São Paulo;SP;Terreno;Rua Silveira da Mota, 66, Cambuci;R$ 308.000,00;50%;15/05/2026;17/06/2026;R$ 154.000,00;R$ 4.620,00;R$ 7.700,00;R$ 7.700,00;R$ 7.700,00;R$ 181.720,00;R$ 126.280,00;69,49%;55;VERMELHO
1500802-16.2016.8.26.0566;São Carlos;SP;Casa;Rua Abrahão João, nº 83, Jardim Bandeirantes, São Carlos/SP;R$ 304.277,25;60%;06/07/2026;29/07/2026;R$ 182.566,35;R$ 5.476,99;R$ 9.128,32;R$ 9.128,32;R$ 9.128,32;R$ 215.428,29;R$ 88.848,96;41,24%;35;VERMELHO
1001628-33.2017.8.26.0609;Taboão da Serra;SP;Apartamento;Apartamento nº 44, 4º andar, Tipo C, Condomínio Residencial Santa Rita de Cassia, Rua Maria Mari nº 31, esquina com Av. José André de Moraes, Jardim Monte Alegre, Taboão da Serra/SP;R$ 284.606,02;50%;15/04/2026;11/05/2026;R$ 142.303,01;R$ 4.269,09;R$ 7.115,15;R$ 7.115,15;R$ 7.115,15;R$ 167.917,55;R$ 116.688,47;69,49%;30;VERMELHO
1501070-51.2023.8.26.0396;Novo Horizonte;SP;Casa residencial;Rua Tupinambás nº 1.068, no Jardim São Vicente de Paulo, nesta cidade de Novo Horizonte/SP;R$ 284.532,01;60%;08/04/2026;30/04/2026;R$ 170.719,21;R$ 5.121,58;R$ 8.535,96;R$ 8.535,96;R$ 8.535,96;R$ 201.448,66;R$ 83.083,35;41,24%;70;AMARELO
0000405-58.2000.8.26.0609;Taboão da Serra;SP;Bens Móveis e Veículos;Rua Aracati, nº 38, Penha, São Paulo/SP;R$ 280.578,77;20%;27/04/2026;20/05/2026;R$ 56.115,75;R$ 1.683,47;R$ 2.805,79;R$ 2.805,79;R$ 2.805,79;R$ 66.216,59;R$ 214.362,18;323,73%;55;VERMELHO
1000398-31.2018.8.26.0411;Adamantina;SP;Terreno com Casa;Rua Tsunekishi Sakai, nº 350, Vila Joaquina, Adamantina/SP;R$ 279.689,69;80%;13/04/2026;04/05/2026;R$ 223.751,75;R$ 6.712,55;R$ 11.187,59;R$ 11.187,59;R$ 11.187,59;R$ 264.027,07;R$ 15.662,62;5,93%;55;VERMELHO
1506362-36.2016.8.26.0566;São Carlos;SP;Apartamento;Rua Conde do Pinhal, nº 2.952, Centro, São Carlos/SP;R$ 276.615,68;80%;06/07/2026;29/07/2026;R$ 221.292,54;R$ 6.638,78;R$ 11.064,63;R$ 11.064,63;R$ 11.064,63;R$ 261.125,20;R$ 15.490,48;5,93%;30;VERMELHO
0007562-88.2018.8.26.0597;Sertãozinho;SP;Misto (Comercial e Residencial);Rua Epitácio Pessoa, nº 2.502 e Rua Abílio Alves Teixeira, nº 229, Sertãozinho/SP;R$ 252.548,33;83%;06/04/2026;29/04/2026;R$ 209.615,11;R$ 6.288,45;R$ 10.480,76;R$ 10.480,76;R$ 10.480,76;R$ 247.345,83;R$ 5.202,50;2,10%;25;VERMELHO
1502188-12.2017.8.26.0319;Lençóis Paulista;SP;Casa;Rua Enio Giovanetti, nº 37, Lençóis Paulista/SP;R$ 246.187,45;60%;25/04/2026;20/05/2026;R$ 147.712,47;R$ 4.431,37;R$ 7.385,62;R$ 7.385,62;R$ 7.385,62;R$ 174.300,71;R$ 71.886,74;41,24%;55;VERMELHO
1500954-41.2022.8.26.0247;Ilhabela;SP;Direitos Possessórios sobre Terreno;Rua Assis Lídio do Nascimento, nº 111, bairro Água Branca;R$ 240.333,33;50%;04/05/2026;26/05/2026;R$ 120.166,67;R$ 3.605,00;R$ 6.008,33;R$ 6.008,33;R$ 6.008,33;R$ 141.796,66;R$ 98.536,67;69,49%;33;VERMELHO
0002291-65.2024.8.26.0152;Cotia;SP;Apartamento;Rua Mario Andreatini nº 121, Bairro da Graça;R$ 238.962,10;60%;04/05/2026;28/05/2026;R$ 143.377,26;R$ 4.301,32;R$ 7.168,86;R$ 7.168,86;R$ 7.168,86;R$ 169.185,17;R$ 69.776,93;41,24%;20;VERMELHO
0060470-97.2010.8.26.0114;Campinas;SP;Apartamento;Rua Fausto Dias de Melo, n° 467, Vila Paraíso, Campinas/SP;R$ 236.000,00;80%;09/04/2026;25/05/2026;R$ 188.800,00;R$ 5.664,00;R$ 9.440,00;R$ 9.440,00;R$ 9.440,00;R$ 222.784,00;R$ 13.216,00;5,93%;80;VERDE
1031933-64.2016.8.26.0114;Campinas;SP;Apartamento;Rua 1, nº 417, Apartamento 8, Bloco J, Parque Residencial Dr. Marcondes Filho;R$ 235.921,55;60%;18/05/2026;10/06/2026;R$ 141.552,93;R$ 4.246,59;R$ 7.077,65;R$ 7.077,65;R$ 7.077,65;R$ 167.032,46;R$ 68.889,09;41,24%;75;AMARELO
1002819-81.2019.8.26.0306;São José do Rio Preto;SP;Casa;Rua Rubens Cordeiro de Souza, 113 - Jardim Nunes - São José do Rio Preto - SP, 15046-807;R$ 225.830,54;60%;20/05/2026;11/06/2026;R$ 135.498,32;R$ 4.064,95;R$ 6.774,92;R$ 6.774,92;R$ 6.774,92;R$ 159.888,02;R$ 65.942,52;41,24%;50;VERMELHO
1027640-18.2024.8.26.0002;Sorocaba;SP;Apartamento;Avenida Santa Cruz, 165, Apto 12, Jardim Vera Cruz;R$ 210.386,19;60%;07/05/2026;26/05/2026;R$ 126.231,71;R$ 3.786,95;R$ 6.311,59;R$ 6.311,59;R$ 6.311,59;R$ 148.953,42;R$ 61.432,77;41,24%;60;AMARELO
0005429-56.2008.8.26.0619;Taquaritinga;SP;Prédio Residencial;AVENIDA HEITOR ALVES GOMES, sob nº 44-A;R$ 184.967,48;60%;04/05/2026;27/05/2026;R$ 110.980,49;R$ 3.329,41;R$ 5.549,02;R$ 5.549,02;R$ 5.549,02;R$ 130.956,98;R$ 54.010,50;41,24%;30;VERMELHO
1509715-79.2019.8.26.0566;São Carlos;SP;Casa;Rua Miguel Rodrigues, 222, Cidade Aracy;R$ 180.000,00;80%;04/05/2026;27/05/2026;R$ 144.000,00;R$ 4.320,00;R$ 7.200,00;R$ 7.200,00;R$ 7.200,00;R$ 169.920,00;R$ 10.080,00;5,93%;30;VERMELHO
1509715-79.2019.8.26.0566;São Carlos;SP;Casa;Rua Miguel Rodrigues, 222, Cidade Aracy;R$ 180.000,00;80%;04/05/2026;27/05/2026;R$ 144.000,00;R$ 4.320,00;R$ 7.200,00;R$ 7.200,00;R$ 7.200,00;R$ 169.920,00;R$ 10.080,00;5,93%;30;VERMELHO
0040152-52.2021.8.26.0100;São Paulo;SP;Vaga de Garagem;Avenida Angélica, nº 430, esquina com a Alameda Barros nºs 376 e 380;R$ 176.462,49;50%;28/05/2026;01/07/2026;R$ 88.231,25;R$ 2.646,94;R$ 4.411,56;R$ 4.411,56;R$ 4.411,56;R$ 104.112,87;R$ 72.349,62;69,49%;70;AMARELO
1509154-55.2019.8.26.0566;São Carlos;SP;Terreno com construção inacabada;Rua H, Lote 1126, Quadra 25, Jardim Social Presidente Collor, São Carlos, SP;R$ 176.299,06;60%;06/07/2026;29/07/2026;R$ 105.779,44;R$ 3.173,38;R$ 5.288,97;R$ 5.288,97;R$ 5.288,97;R$ 124.819,73;R$ 51.479,33;41,24%;40;VERMELHO
0000789-34.2010.8.26.0168;Dracena;SP;Terreno;Rua Antônio Rodrigues de Barros, esquina com a Rua Brasil, Dracena/SP;R$ 175.847,58;60%;04/05/2026;27/05/2026;R$ 105.508,55;R$ 3.165,26;R$ 5.275,43;R$ 5.275,43;R$ 5.275,43;R$ 124.500,09;R$ 51.347,49;41,24%;50;VERMELHO
